label,text
ham,SMS services. Your subscription is renewed
ham,SMS services. Your subscription is renewed
ham,Limited time offer! Get it now!
ham,Your chance to win a new iPhone! Click here now
ham,Congratulations! Thanks to a good friend
spam,I'm gonna be home soon and i don't want to talk
spam,WINNER!! As a valued network customer
ham,Hey there! Just testing this out.
spam,Had your mobile 11 months or more?
spam,WINNER!! As a valued network customer
ham,Wishing you a great day ahead!
spam,Your chance to win a new iPhone! Click here now
spam,"Hi, it's me. Are we still meeting today?"
spam,Congratulations! Thanks to a good friend
ham,We have a surprise for you. Click the link below
spam,SMS services. Your subscription is renewed
spam,This is the 2nd time we have tried to contact you
spam,You won't believe it but it's true. It's Incredible!
ham,WINNER!! As a valued network customer
ham,Wishing you a great day ahead!
spam,"Hi, it's me. Are we still meeting today?"
ham,URGENT! You have won a 1 week FREE membership
ham,URGENT! You have won a 1 week FREE membership
ham,Urgent! You have won a 1 week FREE membership
spam,This is the 2nd time we have tried to contact you
ham,URGENT! You have won a 1 week FREE membership
ham,Wishing you a great day ahead!
spam,You won't believe it but it's true. It's Incredible!
spam,We have a surprise for you. Click the link below
spam,Wishing you a great day ahead!
spam,URGENT! You have won a 1 week FREE membership
ham,SMS services. Your subscription is renewed
ham,URGENT! You have won a 1 week FREE membership
spam,Your chance to win a new iPhone! Click here now
ham,Urgent! You have won a 1 week FREE membership
spam,WINNER!! As a valued network customer
ham,"SIX chances to win CASH! From 100 to 20,000"
spam,Had your mobile 11 months or more?
spam,"Hi, it's me. Are we still meeting today?"
ham,I'm gonna be home soon and i don't want to talk
spam,SMS services. Your subscription is renewed
ham,Hey there! Just testing this out.
ham,Limited time offer! Get it now!
spam,Free entry in 2 a wkly comp to win FA Cup
spam,We have a surprise for you. Click the link below
spam,Urgent! You have won a 1 week FREE membership
ham,Meeting up later? I'm busy now.
spam,This is the 2nd time we have tried to contact you
spam,Had your mobile 11 months or more?
ham,We have a surprise for you. Click the link below
spam,SMS services. Your subscription is renewed
ham,URGENT! You have won a 1 week FREE membership
ham,I'm gonna be home soon and i don't want to talk
ham,Congratulations! Thanks to a good friend
spam,Limited time offer! Get it now!
ham,Your chance to win a new iPhone! Click here now
ham,URGENT! You have won a 1 week FREE membership
spam,"SIX chances to win CASH! From 100 to 20,000"
spam,Limited time offer! Get it now!
ham,URGENT! You have won a 1 week FREE membership
ham,"SIX chances to win CASH! From 100 to 20,000"
spam,We have a surprise for you. Click the link below
ham,Urgent! You have won a 1 week FREE membership
ham,Hey there! Just testing this out.
ham,"Go until jurong point, crazy.. Available only"
spam,Free entry in 2 a wkly comp to win FA Cup
spam,Free entry in 2 a wkly comp to win FA Cup
ham,Hey there! Just testing this out.
spam,"Go until jurong point, crazy.. Available only"
ham,Free entry in 2 a wkly comp to win FA Cup
spam,"Go until jurong point, crazy.. Available only"
ham,Urgent! You have won a 1 week FREE membership
ham,Free entry in 2 a wkly comp to win FA Cup
spam,"SIX chances to win CASH! From 100 to 20,000"
ham,"Go until jurong point, crazy.. Available only"
ham,Free entry in 2 a wkly comp to win FA Cup
spam,You won't believe it but it's true. It's Incredible!
ham,Your chance to win a new iPhone! Click here now
ham,"SIX chances to win CASH! From 100 to 20,000"
spam,"Go until jurong point, crazy.. Available only"
ham,Free entry in 2 a wkly comp to win FA Cup
spam,This is the 2nd time we have tried to contact you
spam,Meeting up later? I'm busy now.
spam,SMS services. Your subscription is renewed
ham,We have a surprise for you. Click the link below
ham,"SIX chances to win CASH! From 100 to 20,000"
spam,"Dear, you've been selected to win $1000 cash prize"
spam,You won't believe it but it's true. It's Incredible!
spam,"SIX chances to win CASH! From 100 to 20,000"
spam,Congratulations! Thanks to a good friend
spam,Urgent! You have won a 1 week FREE membership
ham,Congratulations! Thanks to a good friend
ham,Had your mobile 11 months or more?
spam,Hey there! Just testing this out.
ham,SMS services. Your subscription is renewed
spam,Urgent! You have won a 1 week FREE membership
ham,URGENT! You have won a 1 week FREE membership
spam,Hey there! Just testing this out.
spam,Wishing you a great day ahead!
ham,Limited time offer! Get it now!
spam,SMS services. Your subscription is renewed
spam,Free entry in 2 a wkly comp to win FA Cup
ham,Wishing you a great day ahead!
ham,URGENT! You have won a 1 week FREE membership
spam,"Hi, it's me. Are we still meeting today?"
spam,Free entry in 2 a wkly comp to win FA Cup
ham,"Dear, you've been selected to win $1000 cash prize"
ham,We have a surprise for you. Click the link below
ham,WINNER!! As a valued network customer
ham,WINNER!! As a valued network customer
spam,"Go until jurong point, crazy.. Available only"
ham,Had your mobile 11 months or more?
spam,Free entry in 2 a wkly comp to win FA Cup
ham,Your chance to win a new iPhone! Click here now
spam,SMS services. Your subscription is renewed
ham,Hey there! Just testing this out.
spam,URGENT! You have won a 1 week FREE membership
ham,SMS services. Your subscription is renewed
ham,You won't believe it but it's true. It's Incredible!
ham,Limited time offer! Get it now!
spam,Limited time offer! Get it now!
spam,We have a surprise for you. Click the link below
spam,Urgent! You have won a 1 week FREE membership
spam,"Dear, you've been selected to win $1000 cash prize"
spam,Had your mobile 11 months or more?
spam,Wishing you a great day ahead!
spam,"SIX chances to win CASH! From 100 to 20,000"
ham,WINNER!! As a valued network customer
spam,WINNER!! As a valued network customer
spam,Meeting up later? I'm busy now.
ham,"Hi, it's me. Are we still meeting today?"
spam,Wishing you a great day ahead!
spam,You won't believe it but it's true. It's Incredible!
spam,Limited time offer! Get it now!
ham,SMS services. Your subscription is renewed
spam,Your chance to win a new iPhone! Click here now
spam,Hey there! Just testing this out.
spam,"Hi, it's me. Are we still meeting today?"
spam,Hey there! Just testing this out.
ham,This is the 2nd time we have tried to contact you
ham,Congratulations! Thanks to a good friend
ham,I'm gonna be home soon and i don't want to talk
spam,"Go until jurong point, crazy.. Available only"
ham,Your chance to win a new iPhone! Click here now
ham,Had your mobile 11 months or more?
spam,This is the 2nd time we have tried to contact you
spam,WINNER!! As a valued network customer
spam,This is the 2nd time we have tried to contact you
ham,URGENT! You have won a 1 week FREE membership
spam,Free entry in 2 a wkly comp to win FA Cup
spam,Hey there! Just testing this out.
spam,We have a surprise for you. Click the link below
ham,URGENT! You have won a 1 week FREE membership
ham,SMS services. Your subscription is renewed
ham,This is the 2nd time we have tried to contact you
spam,URGENT! You have won a 1 week FREE membership
spam,Had your mobile 11 months or more?
spam,Urgent! You have won a 1 week FREE membership
spam,I'm gonna be home soon and i don't want to talk
ham,Meeting up later? I'm busy now.
spam,Meeting up later? I'm busy now.
ham,You won't believe it but it's true. It's Incredible!
ham,Congratulations! Thanks to a good friend
ham,Wishing you a great day ahead!
ham,Your chance to win a new iPhone! Click here now
ham,"Dear, you've been selected to win $1000 cash prize"
spam,Urgent! You have won a 1 week FREE membership
spam,URGENT! You have won a 1 week FREE membership
ham,Hey there! Just testing this out.
ham,"SIX chances to win CASH! From 100 to 20,000"
spam,WINNER!! As a valued network customer
spam,Urgent! You have won a 1 week FREE membership
spam,Wishing you a great day ahead!
ham,Wishing you a great day ahead!
ham,"Hi, it's me. Are we still meeting today?"
ham,We have a surprise for you. Click the link below
spam,"Go until jurong point, crazy.. Available only"
spam,Wishing you a great day ahead!
spam,SMS services. Your subscription is renewed
spam,Hey there! Just testing this out.
spam,Wishing you a great day ahead!
spam,"Dear, you've been selected to win $1000 cash prize"
spam,"Go until jurong point, crazy.. Available only"
ham,URGENT! You have won a 1 week FREE membership
spam,"Dear, you've been selected to win $1000 cash prize"
spam,Had your mobile 11 months or more?
spam,WINNER!! As a valued network customer
spam,"Go until jurong point, crazy.. Available only"
spam,URGENT! You have won a 1 week FREE membership
spam,We have a surprise for you. Click the link below
ham,URGENT! You have won a 1 week FREE membership
ham,I'm gonna be home soon and i don't want to talk
spam,"Hi, it's me. Are we still meeting today?"
ham,"Dear, you've been selected to win $1000 cash prize"
spam,"Hi, it's me. Are we still meeting today?"
spam,Limited time offer! Get it now!
ham,Limited time offer! Get it now!
spam,We have a surprise for you. Click the link below
ham,Meeting up later? I'm busy now.
spam,Meeting up later? I'm busy now.
spam,"Hi, it's me. Are we still meeting today?"
ham,Hey there! Just testing this out.
ham,I'm gonna be home soon and i don't want to talk
spam,WINNER!! As a valued network customer
ham,SMS services. Your subscription is renewed
spam,Your chance to win a new iPhone! Click here now
spam,"Go until jurong point, crazy.. Available only"
spam,WINNER!! As a valued network customer
ham,"Dear, you've been selected to win $1000 cash prize"
spam,Had your mobile 11 months or more?
spam,Wishing you a great day ahead!
ham,"Dear, you've been selected to win $1000 cash prize"
spam,Had your mobile 11 months or more?
ham,"Go until jurong point, crazy.. Available only"
spam,Urgent! You have won a 1 week FREE membership
ham,Limited time offer! Get it now!
spam,Congratulations! Thanks to a good friend
ham,WINNER!! As a valued network customer
ham,SMS services. Your subscription is renewed
spam,This is the 2nd time we have tried to contact you
spam,Meeting up later? I'm busy now.
spam,SMS services. Your subscription is renewed
spam,"SIX chances to win CASH! From 100 to 20,000"
spam,WINNER!! As a valued network customer
ham,"Dear, you've been selected to win $1000 cash prize"
ham,URGENT! You have won a 1 week FREE membership
ham,You won't believe it but it's true. It's Incredible!
ham,I'm gonna be home soon and i don't want to talk
spam,SMS services. Your subscription is renewed
spam,Congratulations! Thanks to a good friend
spam,Congratulations! Thanks to a good friend
ham,Hey there! Just testing this out.
spam,"Go until jurong point, crazy.. Available only"
ham,I'm gonna be home soon and i don't want to talk
ham,This is the 2nd time we have tried to contact you
ham,"Dear, you've been selected to win $1000 cash prize"
spam,Urgent! You have won a 1 week FREE membership
spam,WINNER!! As a valued network customer
ham,This is the 2nd time we have tried to contact you
ham,URGENT! You have won a 1 week FREE membership
spam,Limited time offer! Get it now!
ham,I'm gonna be home soon and i don't want to talk
ham,"Dear, you've been selected to win $1000 cash prize"
ham,You won't believe it but it's true. It's Incredible!
spam,"Go until jurong point, crazy.. Available only"
ham,Meeting up later? I'm busy now.
ham,We have a surprise for you. Click the link below
ham,"SIX chances to win CASH! From 100 to 20,000"
ham,WINNER!! As a valued network customer
spam,This is the 2nd time we have tried to contact you
spam,"SIX chances to win CASH! From 100 to 20,000"
spam,SMS services. Your subscription is renewed
ham,WINNER!! As a valued network customer
ham,I'm gonna be home soon and i don't want to talk
spam,Free entry in 2 a wkly comp to win FA Cup
ham,Congratulations! Thanks to a good friend
ham,URGENT! You have won a 1 week FREE membership
ham,Urgent! You have won a 1 week FREE membership
ham,"Go until jurong point, crazy.. Available only"
spam,Urgent! You have won a 1 week FREE membership
ham,We have a surprise for you. Click the link below
spam,Your chance to win a new iPhone! Click here now
ham,"Hi, it's me. Are we still meeting today?"
ham,Had your mobile 11 months or more?
ham,Congratulations! Thanks to a good friend
spam,Your chance to win a new iPhone! Click here now
ham,You won't believe it but it's true. It's Incredible!
spam,"SIX chances to win CASH! From 100 to 20,000"
spam,"Go until jurong point, crazy.. Available only"
spam,This is the 2nd time we have tried to contact you
ham,Had your mobile 11 months or more?
ham,SMS services. Your subscription is renewed
ham,Urgent! You have won a 1 week FREE membership
spam,Had your mobile 11 months or more?
ham,We have a surprise for you. Click the link below
ham,Wishing you a great day ahead!
spam,This is the 2nd time we have tried to contact you
spam,Free entry in 2 a wkly comp to win FA Cup
spam,WINNER!! As a valued network customer
spam,This is the 2nd time we have tried to contact you
spam,WINNER!! As a valued network customer
spam,Meeting up later? I'm busy now.
ham,Congratulations! Thanks to a good friend
spam,Free entry in 2 a wkly comp to win FA Cup
ham,"Hi, it's me. Are we still meeting today?"
ham,Meeting up later? I'm busy now.
ham,Had your mobile 11 months or more?
ham,Hey there! Just testing this out.
ham,Hey there! Just testing this out.
spam,Wishing you a great day ahead!
spam,"Go until jurong point, crazy.. Available only"
spam,Congratulations! Thanks to a good friend
ham,This is the 2nd time we have tried to contact you
spam,"Hi, it's me. Are we still meeting today?"
spam,This is the 2nd time we have tried to contact you
ham,Urgent! You have won a 1 week FREE membership
ham,Urgent! You have won a 1 week FREE membership
spam,"Dear, you've been selected to win $1000 cash prize"
spam,You won't believe it but it's true. It's Incredible!
spam,WINNER!! As a valued network customer
spam,Had your mobile 11 months or more?
ham,You won't believe it but it's true. It's Incredible!
spam,Limited time offer! Get it now!
spam,Your chance to win a new iPhone! Click here now
spam,URGENT! You have won a 1 week FREE membership
spam,Limited time offer! Get it now!
ham,Your chance to win a new iPhone! Click here now
ham,I'm gonna be home soon and i don't want to talk
ham,"Go until jurong point, crazy.. Available only"
spam,Limited time offer! Get it now!
spam,I'm gonna be home soon and i don't want to talk
spam,SMS services. Your subscription is renewed
spam,"SIX chances to win CASH! From 100 to 20,000"
ham,Had your mobile 11 months or more?
ham,SMS services. Your subscription is renewed
ham,You won't believe it but it's true. It's Incredible!
spam,"Hi, it's me. Are we still meeting today?"
spam,WINNER!! As a valued network customer
spam,Hey there! Just testing this out.
ham,I'm gonna be home soon and i don't want to talk
ham,I'm gonna be home soon and i don't want to talk
spam,SMS services. Your subscription is renewed
ham,Limited time offer! Get it now!
spam,You won't believe it but it's true. It's Incredible!
spam,Hey there! Just testing this out.
spam,Hey there! Just testing this out.
spam,Wishing you a great day ahead!
ham,Wishing you a great day ahead!
spam,"Go until jurong point, crazy.. Available only"
spam,URGENT! You have won a 1 week FREE membership
spam,Had your mobile 11 months or more?
ham,WINNER!! As a valued network customer
spam,We have a surprise for you. Click the link below
spam,I'm gonna be home soon and i don't want to talk
spam,URGENT! You have won a 1 week FREE membership
ham,"Dear, you've been selected to win $1000 cash prize"
ham,I'm gonna be home soon and i don't want to talk
ham,SMS services. Your subscription is renewed
spam,We have a surprise for you. Click the link below
ham,Your chance to win a new iPhone! Click here now
ham,Meeting up later? I'm busy now.
ham,Urgent! You have won a 1 week FREE membership
ham,Limited time offer! Get it now!
ham,Limited time offer! Get it now!
ham,Hey there! Just testing this out.
spam,Had your mobile 11 months or more?
ham,Meeting up later? I'm busy now.
ham,Free entry in 2 a wkly comp to win FA Cup
spam,"SIX chances to win CASH! From 100 to 20,000"
spam,"SIX chances to win CASH! From 100 to 20,000"
spam,Meeting up later? I'm busy now.
ham,Meeting up later? I'm busy now.
ham,This is the 2nd time we have tried to contact you
ham,WINNER!! As a valued network customer
spam,Urgent! You have won a 1 week FREE membership
spam,Limited time offer! Get it now!
spam,Had your mobile 11 months or more?
spam,We have a surprise for you. Click the link below
ham,Congratulations! Thanks to a good friend
spam,We have a surprise for you. Click the link below
ham,You won't believe it but it's true. It's Incredible!
ham,"SIX chances to win CASH! From 100 to 20,000"
ham,Had your mobile 11 months or more?
ham,"Dear, you've been selected to win $1000 cash prize"
spam,Free entry in 2 a wkly comp to win FA Cup
ham,"Hi, it's me. Are we still meeting today?"
spam,Meeting up later? I'm busy now.
ham,I'm gonna be home soon and i don't want to talk
ham,Free entry in 2 a wkly comp to win FA Cup
ham,Free entry in 2 a wkly comp to win FA Cup
ham,"Go until jurong point, crazy.. Available only"
spam,This is the 2nd time we have tried to contact you
spam,Free entry in 2 a wkly comp to win FA Cup
ham,Hey there! Just testing this out.
ham,Free entry in 2 a wkly comp to win FA Cup
ham,Hey there! Just testing this out.
ham,"Hi, it's me. Are we still meeting today?"
ham,This is the 2nd time we have tried to contact you
spam,You won't believe it but it's true. It's Incredible!
ham,Meeting up later? I'm busy now.
ham,"Go until jurong point, crazy.. Available only"
spam,Urgent! You have won a 1 week FREE membership
ham,Wishing you a great day ahead!
ham,URGENT! You have won a 1 week FREE membership
spam,This is the 2nd time we have tried to contact you
ham,Your chance to win a new iPhone! Click here now
ham,We have a surprise for you. Click the link below
ham,"Go until jurong point, crazy.. Available only"
spam,Limited time offer! Get it now!
spam,You won't believe it but it's true. It's Incredible!
spam,URGENT! You have won a 1 week FREE membership
spam,Congratulations! Thanks to a good friend
ham,WINNER!! As a valued network customer
ham,This is the 2nd time we have tried to contact you
ham,"SIX chances to win CASH! From 100 to 20,000"
spam,"Hi, it's me. Are we still meeting today?"
ham,Limited time offer! Get it now!
ham,Your chance to win a new iPhone! Click here now
spam,Free entry in 2 a wkly comp to win FA Cup
ham,Had your mobile 11 months or more?
ham,Meeting up later? I'm busy now.
ham,You won't believe it but it's true. It's Incredible!
spam,"Go until jurong point, crazy.. Available only"
ham,Hey there! Just testing this out.
spam,I'm gonna be home soon and i don't want to talk
ham,"Dear, you've been selected to win $1000 cash prize"
ham,SMS services. Your subscription is renewed
ham,I'm gonna be home soon and i don't want to talk
spam,Free entry in 2 a wkly comp to win FA Cup
ham,URGENT! You have won a 1 week FREE membership
spam,Free entry in 2 a wkly comp to win FA Cup
spam,Congratulations! Thanks to a good friend
spam,"Hi, it's me. Are we still meeting today?"
spam,Meeting up later? I'm busy now.
spam,Hey there! Just testing this out.
spam,Free entry in 2 a wkly comp to win FA Cup
spam,This is the 2nd time we have tried to contact you
ham,SMS services. Your subscription is renewed
spam,This is the 2nd time we have tried to contact you
ham,SMS services. Your subscription is renewed
spam,This is the 2nd time we have tried to contact you
ham,SMS services. Your subscription is renewed
ham,"Dear, you've been selected to win $1000 cash prize"
ham,URGENT! You have won a 1 week FREE membership
spam,Free entry in 2 a wkly comp to win FA Cup
ham,Had your mobile 11 months or more?
ham,"Dear, you've been selected to win $1000 cash prize"
ham,This is the 2nd time we have tried to contact you
ham,Your chance to win a new iPhone! Click here now
spam,We have a surprise for you. Click the link below
spam,Meeting up later? I'm busy now.
spam,"Hi, it's me. Are we still meeting today?"
ham,"Dear, you've been selected to win $1000 cash prize"
ham,"Hi, it's me. Are we still meeting today?"
spam,This is the 2nd time we have tried to contact you
spam,Wishing you a great day ahead!
ham,Limited time offer! Get it now!
spam,We have a surprise for you. Click the link below
ham,Your chance to win a new iPhone! Click here now
ham,Congratulations! Thanks to a good friend
ham,"Dear, you've been selected to win $1000 cash prize"
ham,You won't believe it but it's true. It's Incredible!
ham,Urgent! You have won a 1 week FREE membership
ham,We have a surprise for you. Click the link below
ham,Hey there! Just testing this out.
spam,Free entry in 2 a wkly comp to win FA Cup
spam,Congratulations! Thanks to a good friend
spam,"Hi, it's me. Are we still meeting today?"
ham,Congratulations! Thanks to a good friend
spam,You won't believe it but it's true. It's Incredible!
spam,"Go until jurong point, crazy.. Available only"
ham,"SIX chances to win CASH! From 100 to 20,000"
spam,"SIX chances to win CASH! From 100 to 20,000"
ham,Hey there! Just testing this out.
spam,Congratulations! Thanks to a good friend
ham,Free entry in 2 a wkly comp to win FA Cup
spam,"Hi, it's me. Are we still meeting today?"
spam,Your chance to win a new iPhone! Click here now
spam,Congratulations! Thanks to a good friend
spam,SMS services. Your subscription is renewed
spam,You won't believe it but it's true. It's Incredible!
ham,Hey there! Just testing this out.
spam,Meeting up later? I'm busy now.
spam,Your chance to win a new iPhone! Click here now
ham,Limited time offer! Get it now!
spam,"Dear, you've been selected to win $1000 cash prize"
ham,"Go until jurong point, crazy.. Available only"
ham,URGENT! You have won a 1 week FREE membership
spam,Your chance to win a new iPhone! Click here now
spam,"Dear, you've been selected to win $1000 cash prize"
spam,Wishing you a great day ahead!
spam,"Go until jurong point, crazy.. Available only"
spam,"Hi, it's me. Are we still meeting today?"
ham,Urgent! You have won a 1 week FREE membership
ham,"Go until jurong point, crazy.. Available only"
spam,URGENT! You have won a 1 week FREE membership
spam,Hey there! Just testing this out.
ham,Meeting up later? I'm busy now.
ham,SMS services. Your subscription is renewed
spam,You won't believe it but it's true. It's Incredible!
ham,URGENT! You have won a 1 week FREE membership
spam,"Go until jurong point, crazy.. Available only"
ham,We have a surprise for you. Click the link below
ham,We have a surprise for you. Click the link below
ham,"Dear, you've been selected to win $1000 cash prize"
ham,Limited time offer! Get it now!
spam,Congratulations! Thanks to a good friend
ham,"SIX chances to win CASH! From 100 to 20,000"
spam,Wishing you a great day ahead!
spam,Urgent! You have won a 1 week FREE membership
ham,Congratulations! Thanks to a good friend
spam,Your chance to win a new iPhone! Click here now
ham,WINNER!! As a valued network customer
spam,We have a surprise for you. Click the link below
spam,Urgent! You have won a 1 week FREE membership
ham,Free entry in 2 a wkly comp to win FA Cup
